Scenario_ID,Scenario_Revenue,Operating_Cost,Scenario_Profit,Scenario_Unmet_Demand
0,11888490.45,6455770.83,5432719.62,13974.0
1,11956675.46,6455770.83,5500904.63,13928.0
2,11970887.48,6455770.83,5515116.65,13420.0
3,11883459.52,6455770.83,5427688.68,13463.0
4,11883940.76,6455770.83,5428169.93,13317.0
5,11898471.89,6455770.83,5442701.05,13334.0
6,11905007.97,6455770.83,5449237.14,13470.0
7,11866925.83,6455770.83,5411155.0,12736.0
8,11846507.18,6455770.83,5390736.35,12826.0
9,11914033.08,6455770.83,5458262.25,14047.0
10,11883680.31,6455770.83,5427909.47,13686.0
11,11929481.25,6455770.83,5473710.42,13717.0
12,11908081.94,6455770.83,5452311.1,13566.0
13,11891521.28,6455770.83,5435750.45,13948.0
14,11925378.82,6455770.83,5469607.99,13814.0
15,11896279.52,6455770.83,5440508.69,13654.0
16,11893504.32,6455770.83,5437733.49,13699.0
17,11951153.62,6455770.83,5495382.79,13408.0
18,11881431.14,6455770.83,5425660.3,13318.0
19,11884475.28,6455770.83,5428704.45,13472.0
